频道由爬虫自动更新,#genre#,http://diyp1.112114.xyz/

央视4K&高端设备,#genre#
CCTV1-4K,http://148.135.93.213:81/live.php?id=CCTV1-4K
CCTV3-4K,http://148.135.93.213:81/live.php?id=CCTV3-4K
CCTV5-4K,http://148.135.93.213:81/live.php?id=CCTV5-4K
CCTV6-4K,http://148.135.93.213:81/live.php?id=CCTV6-4K
CCTV8-4K,http://148.135.93.213:81/live.php?id=CCTV8-4K
BesTV电影4K,http://www.17888.fun:10000/udp/239.45.3.107:5140
百事通电影4K,http://www.17888.fun:10000/rtp/239.45.1.42:5140
百事通纪实4K,http://www.17888.fun:10000/rtp/239.45.1.10:5140
百事通儿童4K,http://www.17888.fun:10000/rtp/239.45.1.1:5140
北京超清4K,http://bjuni.iptv.im2k.com:5018/rtp/239.3.1.249:8001
纯享4k,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/1.m3u8
爱上4K,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000459/index.m3u8?IAS
4K自然,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

通用网络ipv6,#genre#
CCTV1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111128BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN1346BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV1,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226153/index.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226247/index.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001111/1110000301/index.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000001/index.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000501/index.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002133/index.m3u8
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1&江苏v6,rtsp://[2409:8087:2001:20:2800:0:df6e:eb18]:554/ott.mobaibox.com/000000400000001/H265_8000k_1080P_cctv1_CR
CCTV2,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000036BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV2,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226220/index.m3u8
CCTV2,http://[2409:8087:74F1:0021::0008]:80/270000001111/1110000302/index.m3u8
CCTV2,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002135/index.m3u8
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV2&江苏v6,rtsp://[2409:8087:2001:20:2800:0:df6e:eb1a]:554/ott.mobaibox.com/000000400000001/H265_8000k_1080P_cctv2_CR
CCTV3,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226490/index.m3u8
CCTV3,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/1.m3u8?m3u8_level=2
CCTV3,http://[2409:8087:74F1:0021::0008]:80/270000001111/1110000303/index.m3u8
CCTV3,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000003/index.m3u8
CCTV3,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMUNNEYLCPUtKY62j1Wp5u04wipypKUQ1TTuR2lXvBl5YpHqBJmlA19x22TD9bUOjk
CCTV3&江苏v6,rtsp://[2409:8087:2001:20:2800:0:df6e:eb18]:554/ott.mobaibox.com/000000400000001/H265_8000k_1080P_cctv3_CR
CCTV4,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226539/index.m3u8
CCTV4,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226652/index.m3u8
CCTV4,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000037BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV4,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000503/index.m3u8
CCTV4,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4&江苏v6,rtsp://[2409:8087:2001:20:2800:0:df6e:eb18]:554/ott.mobaibox.com/000000400000001/H265_8000k_1080P_cctv4_CR
CCTV5,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727e617ca0/1.m3u8?m3u8_level=2
CCTV5,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226587/index.m3u8
CCTV5,http://[2409:8087:74F1:0021::0008]:80/270000001111/1110000305/index.m3u8
CCTV5,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000005/index.m3u8
CCTV5,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5&江苏v6,rtsp://[2409:8087:2001:20:2800:0:df6e:eb20]:554/ott.mobaibox.com/000000400000001/H265_8000k_1080P_cctv5_CR
CCTV5+,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63872908d48f9/1.m3u8?m3u8_level=2
CCTV5+,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226253/index.m3u8
CCTV5+,http://[2409:8087:74F1:0021::0008]:80/270000001111/1110000306/index.m3u8
CCTV5+,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000507/index.m3u8
CCTV5+,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002139/index.m3u8
CCTV5+,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63872908d48f9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSBx06ZL9Bo6JOM%2BSTjxZRK254G1jtietGzDaHvFNRtjXOvFnbf%2BTao33JqYlfMYYn2z3agOn9gvNMT9KmBaR9o
CCTV5+&江苏v6,rtsp://[2409:8087:2001:20:2800:0:df6e:eb18]:554/ott.mobaibox.com/000000400000001/H265_8000k_1080P_cctv05plus_CR
CCTV6,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226492/index.m3u8
CCTV6,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728804b1f9/1.m3u8?m3u8_level=2
CCTV6,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:74F1:0021::0008]:80/270000001111/1110000307/index.m3u8
CCTV6,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000006/index.m3u8
CCTV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000038BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV7,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226432/index.m3u8
CCTV7,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000504/index.m3u8
CCTV7,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002141/index.m3u8
CCTV7,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226589/index.m3u8
CCTV8,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728970aa82/1.m3u8?m3u8_level=2
CCTV8,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226150/index.m3u8
CCTV8,http://[2409:8087:74F1:0021::0008]:80/270000001111/1110000309/index.m3u8
CCTV8,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000008/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000039BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV9,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226434/index.m3u8
CCTV9,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000505/index.m3u8
